"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2019-03-30,4,2019-04-27,1.50162014129744,0.01,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,1.75468556274154,0.025,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,2.02351836987677,0.05,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,2.23108939540779,0.1,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,2.30849145456408,0.15,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,2.37580237365518,0.2,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,2.55609610989124,0.25,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,2.6412141429133,0.3,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,2.71096873969603,0.35,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,2.88726584078395,0.4,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,2.99999797792628,0.45,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,3.08064250681492,0.5,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,3.19167918402585,0.55,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,3.27151425232657,0.6,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,3.38404119741879,0.65,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,3.44997513858572,0.7,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,3.62914932963075,0.75,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,3.79688580128838,0.8,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,3.93563108704425,0.85,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,4.15410512273322,0.9,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,4.43938868716535,0.95,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,4.96721734338283,0.975,"ili perc","quantile"
"US National",2019-03-30,4,2019-04-27,5.64550278036499,0.99,"ili perc","quantile"
