"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2017-11-11,4,2017-12-09,1.03771816713071,0.01,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,1.13054330944723,0.025,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,1.17554814367952,0.05,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,1.28603668609416,0.1,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,1.36862323054551,0.15,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,1.4652915437866,0.2,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,1.52955895664425,0.25,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,1.64081188861677,0.3,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,1.70518498971493,0.35,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,1.75760530057526,0.4,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,1.80347045322999,0.45,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,1.86039675244037,0.5,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,1.88065075205704,0.55,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,1.97654880242629,0.6,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,2.02317258811422,0.65,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,2.11373459156547,0.7,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,2.18723037422502,0.75,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,2.35207496588313,0.8,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,2.44894942824714,0.85,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,2.5333125317986,0.9,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,3.05984095074827,0.95,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,3.31826877127557,0.975,"ili perc","quantile"
"US National",2017-11-11,4,2017-12-09,3.41724895307088,0.99,"ili perc","quantile"
