"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2017-03-11,4,2017-04-08,1.525791630298,0.01,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,1.91011898567991,0.025,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,2.40271267281505,0.05,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,2.59835939332308,0.1,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,2.8541587060507,0.15,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,2.9942846542678,0.2,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,3.13049207207593,0.25,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,3.24589680072436,0.3,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,3.44508854350717,0.35,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,3.54671467494656,0.4,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,3.63965611917126,0.45,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,3.68574719885968,0.5,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,3.7914109500742,0.55,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,3.95652631538595,0.6,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,4.08925131408719,0.65,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,4.21294070385178,0.7,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,4.44582483287483,0.75,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,4.60911968153208,0.8,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,4.67315931871821,0.85,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,4.81326308258394,0.9,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,6.03007047439735,0.95,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,6.50383298690799,0.975,"ili perc","quantile"
"US National",2017-03-11,4,2017-04-08,6.8659050762701,0.99,"ili perc","quantile"
